imgPr_cal_t,reduce_right_lines_cal_t,reduce_left_lines_cal_t,left_right_cal_t,cl_cal_t,display_t,Lane_cl_t
0.002991438,0,0,0.000997543,0,no-display-screen,0.004987001
,,,,,,
0.003983736,0,0,0.000997066,0,0.044880629,0.059839964
,,,,,,
0.004986048,0,smaller than MIN_SIZE_REDUCE,0.000998974,0,no-display-screen,0.08178091
,,,,,,
0.002946377,smaller than MIN_SIZE_REDUCE,0,0.000962257,0,no-display-screen,0.004885435
,,,,,,
0.00395298,0,0,0.000997782,0,0.065823793,0.081780672
,,,,,,
0.007977247,0,0,0.000997782,0,no-display-screen,0.090756893
,,,,,,
0.002992153,0,0,0.00099802,0,no-display-screen,0.00897646
,,,,,,
0.008979321,0,0,0.001992226,0,0.070304871,0.100228548
,,,,,,
0.008970261,0.000998259,0,0.001995802,0,no-display-screen,0.077791691
,,,,,,
0.005980968,0,0,0,0,no-display-screen,0.010970116
,,,,,,
0.008975506,0,0,0.00099659,0,0.078789711,0.100730658
,,,,,,
0.004985571,0,0,0.000996828,0,no-display-screen,0.073802471
,,,,,,
0.002992153,smaller than MIN_SIZE_REDUCE,0,0,0,no-display-screen,0.011968136
,,,,,,
0.004986763,0.00099659,0,0.00099659,0,0.035903692,0.059839964
,,,,,,
0.004986048,0,smaller than MIN_SIZE_REDUCE,0.000997543,0,no-display-screen,0.016954184
,,,,,,
0.002991438,smaller than MIN_SIZE_REDUCE,0.000988007,0.000988007,0,no-display-screen,0.005985737
,,,,,,
0.003987789,0,0,0.00099802,0,0.039893627,0.053856134
,,,,,,
0.004985809,0.000997543,0,0.004024982,0,no-display-screen,0.069848537
,,,,,,
0.002991438,0,smaller than MIN_SIZE_REDUCE,0.000997543,0,no-display-screen,0.009937286
,,,,,,
0.004015446,0,0,0.000970364,0,0.050863981,0.073843479
,,,,,,
0.005983829,0,smaller than MIN_SIZE_REDUCE,0.000997305,0,no-display-screen,0.076796532
,,,,,,
0.003027439,smaller than MIN_SIZE_REDUCE,0,0.00099659,0,no-display-screen,0.004024029
,,,,,,
0.004984617,0,0,0.000999451,0,0.043845892,0.05781126
,,,,,,
0.004985571,0,0,0.00099659,0,no-display-screen,0.01695466
,,,,,,
0.004020452,0,0,0.000962019,0,no-display-screen,0.005984783
,,,,,,
0.003988981,0,0,0,0,0.052925348,0.064791679
,,,,,,
0.004981041,0,smaller than MIN_SIZE_REDUCE,0.000997543,0,no-display-screen,0.076794386
,,,,,,
0.003930092,0,0,0.000997782,0,no-display-screen,0.012965918
,,,,,,
0.005982637,0,0,0.000997066,0,0.037935019,0.059839249
,,,,,,
0.006977558,0.000997543,0,0.000997543,0,no-display-screen,0.016954422
,,,,,,
0.003988981,smaller than MIN_SIZE_REDUCE,0,0,0,no-display-screen,0.003988981
,,,,,,
0.00899148,0,0,0.003012419,0,0.032876253,0.049867868
,,,,,,
0.004985809,0,0,0.000998497,0,no-display-screen,0.014960289
,,,,,,
0.004041433,0,0,0.000945091,0,no-display-screen,0.005983829
,,,,,,
0.004985809,0,0.00099659,0.00099659,0,0.046874762,0.058842421
,,,,,,
0.00498724,0,0,0.000997066,0,no-display-screen,0.087638855
,,,,,,
0.00294733,0,0,0.000996351,0,no-display-screen,0.011966705
,,,,,,
0.005021095,0,0,0.000997543,0,0.035868406,0.056848288
,,,,,,
0.004980564,0.000997543,smaller than MIN_SIZE_REDUCE,0.000997543,0,no-display-screen,0.014958858
,,,,,,
0.003989697,smaller than MIN_SIZE_REDUCE,0.00100565,0.002003908,0,no-display-screen,0.006991625
,,,,,,
0.004985809,0,0,0.001995564,0,0.061492682,0.075444698
,,,,,,
0.004985809,0,0,0.002998114,0,no-display-screen,0.07779789
,,,,,,
0.002990961,0,0,0.000996828,0,no-display-screen,0.010964155
,,,,,,
0.003951073,0,0.000997305,0.003026485,0,0.038860321,0.062865019
,,,,,,
0.005968571,0,0.000997543,0.001994848,0,no-display-screen,0.053828001
,,,,,,
0.002992392,0,0,0.000997066,0,no-display-screen,0.004986763
,,,,,,
0.008997679,0,0,0.001994371,0,0.034907341,0.052898645
,,,,,,
0.006940126,0,smaller than MIN_SIZE_REDUCE,0.000997543,0,no-display-screen,0.01296258
,,,,,,
0.002955198,0,0,0,0.000997305,no-display-screen,0.004986763
,,,,,,
0.006019831,0,0,0.000997782,0,0.044879436,0.057845592
,,,,,,
0.004988194,smaller than MIN_SIZE_REDUCE,0.001006842,0.00200367,0,no-display-screen,0.070107222
,,,,,,
0.003989697,0,0,0,0,no-display-screen,0.011993647
,,,,,,
0.003988981,0,0,0,0,0.035902262,0.059805155
,,,,,,
0.004985571,0,0,0,0,no-display-screen,0.029392004
,,,,,,
0.003989458,0,smaller than MIN_SIZE_REDUCE,0,0.000999689,no-display-screen,0.004989147
,,,,,,
0.003991127,0,0,0,0,0.068848848,0.081815004
,,,,,,
0.006980419,0,0,0.001033545,0,no-display-screen,0.077827215
,,,,,,
0.003988981,smaller than MIN_SIZE_REDUCE,smaller than MIN_SIZE_REDUCE,0.000999928,0,no-display-screen,0.010937929
,,,,,,
0.004950285,0,0.000993729,0.001995564,0,0.050863266,0.072799206
,,,,,,
0.006019115,0,0,0.00099659,0,no-display-screen,0.058876991
,,,,,,
0.004951954,0,0,0,0,no-display-screen,0.004951954
,,,,,,
0.004024506,0,0,0.000962019,0,0.033909559,0.042884827
,,,,,,
0.005021811,0,smaller than MIN_SIZE_REDUCE,0.000961065,0,no-display-screen,0.01296401
,,,,,,
0.002991438,0.000997543,0,0.000997543,0,no-display-screen,0.003988981
,,,,,,
0.005984068,0.000997305,0,0.000997305,0,0.047907352,0.060837746
,,,,,,
0.005976915,0,0.000996828,0.00199461,0,no-display-screen,0.088763952
,,,,,,
0.003990412,0,0,0,0,no-display-screen,0.010968924
,,,,,,
0.00698185,0,0,0.002991438,0,0.072806597,0.105718374
,,,,,,
0.007978678,0.001000881,smaller than MIN_SIZE_REDUCE,0.00200057,0,no-display-screen,0.073807716
,,,,,,
0.003990412,0,0,0.00099659,0,no-display-screen,0.007974625
,,,,,,
0.00498724,0,0,0.001995564,0.000996828,0.072805166,0.096741438
,,,,,,
0.004986525,smaller than MIN_SIZE_REDUCE,smaller than MIN_SIZE_REDUCE,0,0,no-display-screen,0.073802233
,,,,,,
0.003989697,0,0,0,0,no-display-screen,0.013962984
,,,,,,
0.004988432,0,0,0.001993179,0,0.033909321,0.046875238
,,,,,,
0.005983829,0,smaller than MIN_SIZE_REDUCE,0.00099659,0,no-display-screen,0.015956402
,,,,,,
0.003026962,0,0,0.000961781,0,no-display-screen,0.004986525
,,,,,,
0.003988981,0,0.001000643,0.001000643,0,0.035875082,0.048876762
,,,,,,
0.004986286,0,0,0.001034498,0,no-display-screen,0.008015633
,,,,,,
0.005989075,0,0,0.001028299,0,no-display-screen,0.007017374
,,,,,,
0.003988504,0.000997782,0,0.001995325,0,0.049866676,0.061798573
,,,,,,
0.006976604,0,0,0.001001835,0,no-display-screen,0.076830149
,,,,,,
0.004025459,smaller than MIN_SIZE_REDUCE,0,0,0,no-display-screen,0.010010242
,,,,,,
0.003988981,0,0,0.001024961,0,0.035879135,0.056844473
,,,,,,
0.004986525,0,0.000998735,0.001995325,0,no-display-screen,0.016954184
,,,,,,
0.002987385,0,0,0,0,no-display-screen,0.004985332
,,,,,,
0.004024744,0,0,0.001995087,0,0.050863266,0.064827442
,,,,,,
0.005960226,0,0,0.000995398,0,no-display-screen,0.078310966
,,,,,,
0.003986597,0,0,0,0,no-display-screen,0.010955572
,,,,,,
0.007961988,smaller than MIN_SIZE_REDUCE,0,0.002014637,0.000994444,0.034872055,0.060838461
,,,,,,
0.006982327,0.001023531,0,0.00402689,0,no-display-screen,0.041925907
,,,,,,
0.002991438,0,0.000997305,0.000997305,0,no-display-screen,0.005947113
,,,,,,
0.002990484,0,0,0.000998497,0,0.031948566,0.044877291
,,,,,,
0.004986286,0,0,0.002000809,0,no-display-screen,0.015957117
,,,,,,
0.002991915,smaller than MIN_SIZE_REDUCE,0.000996828,0.000996828,0,no-display-screen,0.003988743
,,,,,,
0.003954172,0,smaller than MIN_SIZE_REDUCE,0.000997305,0,0.04587841,0.055815697
,,,,,,
0.005011797,0,0.000996828,0.001966238,0,no-display-screen,0.087764978
,,,,,,
0.002982378,smaller than MIN_SIZE_REDUCE,0,0,0,no-display-screen,0.011994123
,,,,,,
0.00498724,0,0,0.00099659,0,0.033909798,0.055811644
,,,,,,
0.004984856,0,0.000999451,0.001996517,0,no-display-screen,0.014961481
,,,,,,
0.004981518,0.001033068,0,0.002030849,0,no-display-screen,0.008010149
,,,,,,
0.003988266,0.000997066,0,0.000997066,0,0.05385685,0.064790249
,,,,,,
0.00896287,0,0,0.002990246,0,no-display-screen,0.080780268
,,,,,,
0.003991127,0.000997066,0,0.000997066,0,no-display-screen,0.008977652
,,,,,,
0.004974842,0,0.000996828,0.001995087,0,0.044877768,0.068814039
,,,,,,
0.007976294,0,0,0.000997782,0.000996828,no-display-screen,0.036900759
,,,,,,
0.002990484,smaller than MIN_SIZE_REDUCE,smaller than MIN_SIZE_REDUCE,0,0,no-display-screen,0.00398922
,,,,,,
0.004982471,0,0,0.000997066,0,0.048869371,0.060833216
,,,,,,
0.004987478,0,smaller than MIN_SIZE_REDUCE,0.000961304,0,no-display-screen,0.073802948
,,,,,,
0.003027439,smaller than MIN_SIZE_REDUCE,0,0.000962019,0,no-display-screen,0.004986525
,,,,,,
0.003612041,0.000997543,0,0.000997543,0,0.035903454,0.047539711
,,,,,,
0.010968447,0,0,0.00199461,0,no-display-screen,0.023935795
,,,,,,
0.003988981,0,0,0.000997782,0,no-display-screen,0.005973101
,,,,,,
0.003989697,0,0,0.000997066,0,0.032911777,0.044879913
,,,,,,
0.005983353,0.000997543,0,0.000997543,0,no-display-screen,0.072804213
,,,,,,
0.003026485,smaller than MIN_SIZE_REDUCE,smaller than MIN_SIZE_REDUCE,0.000962257,0,no-display-screen,0.010970831
,,,,,,
0.004988432,0,0,0.001993418,0,0.046875715,0.073367596
,,,,,,
0.010963917,0.000994921,0,0.003987551,0,no-display-screen,0.030917406
,,,,,,
0.004986763,smaller than MIN_SIZE_REDUCE,0,0.000997543,0,no-display-screen,0.005984306
,,,,,,
0.007978439,0,0,0.001994133,0,0.068475485,0.086425781
,,,,,,
0.007977486,0,0.000997782,0.001994848,0,no-display-screen,0.077303886
,,,,,,
0.003991604,0,0,0.001998186,0,no-display-screen,0.009978533
,,,,,,
0.00398922,0,0,0.000997543,0.000997305,0.058135986,0.077082872
,,,,,,
0.004986286,0,0,0.000997305,0,no-display-screen,0.036874294
,,,,,,
0.003987551,0,0,0,0,no-display-screen,0.004986525
,,,,,,
0.003990412,0,0,0.002029419,0,0.039139748,0.051137686
,,,,,,
0.005012989,smaller than MIN_SIZE_REDUCE,0,0.000969887,0,no-display-screen,0.011962652
,,,,,,
0.004993439,smaller than MIN_SIZE_REDUCE,0,0.000983953,0,no-display-screen,0.006981134
,,,,,,
0.003973246,0.000997066,0,0.000997066,0,0.034137011,0.04708457
,,,,,,
0.00498724,0,0,0.00099802,0,no-display-screen,0.017953157
,,,,,,
0.004028559,0,smaller than MIN_SIZE_REDUCE,0.000957251,0,no-display-screen,0.005982876
,,,,,,
0.004011154,smaller than MIN_SIZE_REDUCE,smaller than MIN_SIZE_REDUCE,0,0,0.048883438,0.059839725
,,,,,,
0.004951239,0,0,0.001996517,0,no-display-screen,0.077795029
,,,,,,
0.002991915,0,0,0.000995636,0,no-display-screen,0.004983902
,,,,,,
0.003986597,0,0,0.000997782,0,0.033906937,0.045876503
,,,,,,
0.006014585,0,0,0.000997782,0,no-display-screen,0.013002157
,,,,,,
0.002955198,0,0,0.001033545,0,no-display-screen,0.003988743
,,,,,,
0.004985571,smaller than MIN_SIZE_REDUCE,0,0.000997305,0,0.049903154,0.062795639
,,,,,,
0.00398922,0.000997305,0,0.001995087,0,no-display-screen,0.074799538
,,,,,,
0.001994371,smaller than MIN_SIZE_REDUCE,0,0,0,no-display-screen,0.011968136
,,,,,,
0.003989458,0,0,0.000997066,0,0.042885065,0.066821098
,,,,,,
0.009979486,0,smaller than MIN_SIZE_REDUCE,0.00099659,0,no-display-screen,0.034844875
,,,,,,
0.004986763,0.001032114,0,0.002029419,0,no-display-screen,0.007016182
,,,,,,
0.004986525,0,0,0.000997066,0,0.033093929,0.046043396
,,,,,,
0.006980419,0,0,0.000998497,0,no-display-screen,0.012006521
,,,,,,
0.002983809,0,0,0.000997066,0,no-display-screen,0.00498414
,,,,,,
0.004033327,0,0,0.000983238,0,0.051986217,0.063956976
,,,,,,
0.003987312,0,0,0.000997543,0,no-display-screen,0.07605195
,,,,,,
0.003015757,0.000960112,0,0.000960112,0,no-display-screen,0.013051987
,,,,,,
0.004997492,0,0,0.000986338,0,0.035026312,0.056010723
,,,,,,
0.006981373,0,smaller than MIN_SIZE_REDUCE,0.000997066,0,no-display-screen,0.015920639
,,,,,,
0.002992153,smaller than MIN_SIZE_REDUCE,0,0,0,no-display-screen,0.002992153
,,,,,,
0.002991676,0,0.00099802,0.00099802,0,0.049865961,0.060837269
,,,,,,
0.005983829,0,0,0.001028776,0,no-display-screen,0.084284782
,,,,,,
0.001966953,smaller than MIN_SIZE_REDUCE,0,0.000997066,0,no-display-screen,0.003988266
,,,,,,
0.004023552,0,0,0,0,0.039951324,0.050958633
,,,,,,
0.007008314,0,0,0.001000881,0,no-display-screen,0.01802969
,,,,,,
0.003055334,0,0,0,0,no-display-screen,0.004070759
,,,,,,
0.003988028,0,0.001002312,0.001964331,0,0.033958435,0.044897556
,,,,,,
0.004984856,0,smaller than MIN_SIZE_REDUCE,0.000998735,0.000996351,no-display-screen,0.010969639
,,,,,,
0.003006697,smaller than MIN_SIZE_REDUCE,0,0.000998735,0,no-display-screen,0.004005432
,,,,,,
0.004934311,0.000996828,0,0.000996828,0,0.046081305,0.05796051
,,,,,,
0.005985975,0,0,0.000920773,0,no-display-screen,0.066012144
,,,,,,
0.001992941,smaller than MIN_SIZE_REDUCE,0,0,0,no-display-screen,0.011013269
,,,,,,
0.004017353,0,0,0.000969648,0,0.034907341,0.054846764
,,,,,,
0.004987478,0,0,0.00099659,0.000997543,no-display-screen,0.015957117
,,,,,,
0.004001617,0,0,0,0,no-display-screen,0.005000114
,,,,,,
0.003988981,0,0,0.000997543,0,0.053146839,0.06411767
,,,,,,
0.006978989,0,0,0.00099659,0,no-display-screen,0.078296185
,,,,,,
0.003964186,0,0.000977755,0.000977755,0,no-display-screen,0.010925055
,,,,,,
0.003989458,0,0.000988722,0.001990557,0,0.045009613,0.067918777
,,,,,,
0.006980658,0,0.000997305,0.002992153,0,no-display-screen,0.02792573
,,,,,,
0.005978823,0,0,0.000997782,0,no-display-screen,0.008977652
,,,,,,
0.005982637,0.00100255,0,0.002000332,0,0.061829805,0.078787804
,,,,,,
0.005974531,0,smaller than MIN_SIZE_REDUCE,0,0.000998497,no-display-screen,0.072806358
,,,,,,
0.004980087,0,0,0,0.000997543,no-display-screen,0.01396203
,,,,,,
0.004980326,0,0,0.000998259,0,0.047870874,0.068815231
,,,,,,
0.003953218,0,0,0.002031326,0,no-display-screen,0.052895069
,,,,,,
0.002991915,smaller than MIN_SIZE_REDUCE,0,0,0,no-display-screen,0.002991915
,,,,,,
0.004986525,smaller than MIN_SIZE_REDUCE,0,0.000997543,0,0.033910036,0.045876741
,,,,,,
0.00494504,0,0,0.000998735,0,no-display-screen,0.008976936
,,,,,,
0.003988981,0,0,0,0,no-display-screen,0.005982876
,,,,,,
0.003989697,0,0.000997543,0.000997543,0,0.04787159,0.057845354
,,,,,,
0.005954742,0,0.000996351,0.000996351,0,no-display-screen,0.123668671
,,,,,,
0.002991676,0,0,0.000997066,0,no-display-screen,0.010970592
,,,,,,
0.003989458,0.000997305,0,0.000997305,0,0.049868107,0.072807312
,,,,,,
0.006011963,0.000997782,0,0.000997782,0,no-display-screen,0.015957594
,,,,,,
0.00299263,smaller than MIN_SIZE_REDUCE,0,0.000996351,0,no-display-screen,0.003988981
,,,,,,
0.004988194,0.001030207,0,0.001030207,0,0.03193903,0.043883085
,,,,,,
0.005981445,0,0,0.000997543,0,no-display-screen,0.008974075
,,,,,,
0.003987789,0,0,0,0,no-display-screen,0.004986763
,,,,,,
0.003015995,0,0,0.000960588,0,0.045914888,0.055838346
,,,,,,
0.005990028,0,0,0.000989676,0,no-display-screen,0.014960766
,,,,,,
0.00398922,smaller than MIN_SIZE_REDUCE,smaller than MIN_SIZE_REDUCE,0,0,no-display-screen,0.004986525
,,,,,,
0.005984306,0,0,0.000997782,0,0.036936045,0.048868895
,,,,,,
0.004985571,0,smaller than MIN_SIZE_REDUCE,0,0,no-display-screen,0.008976221
,,,,,,
0.002961397,0,0.001001358,0.001001358,0,no-display-screen,0.004958391
,,,,,,
0.002989292,0,0,0.000997543,0,0.047877073,0.058836937
,,,,,,
0.004029989,0,0,0.001026154,0,no-display-screen,0.063830614
,,,,,,
0.003026485,smaller than MIN_SIZE_REDUCE,smaller than MIN_SIZE_REDUCE,0,0,no-display-screen,0.01196599
,,,,,,
0.004015684,0.001000404,0,0.001000404,0,0.03387928,0.05584836
,,,,,,
0.003989458,0,0,0.000997066,0,no-display-screen,0.0139606
,,,,,,
0.004025221,0,smaller than MIN_SIZE_REDUCE,0,0,no-display-screen,0.005022526
,,,,,,
0.003026724,0,0,0.000962734,0,0.034906149,0.043895245
,,,,,,
0.005991936,0.001024008,smaller than MIN_SIZE_REDUCE,0.001024008,0,no-display-screen,0.011005878
,,,,,,
0.002956867,0,smaller than MIN_SIZE_REDUCE,0.000997305,0,no-display-screen,0.003954172
,,,,,,
0.004016638,0.000968695,0,0.000968695,0,0.046875,0.059845924
,,,,,,
0.004024982,0,0,0.000988007,0,no-display-screen,0.067352295
,,,,,,
0.001994848,0,smaller than MIN_SIZE_REDUCE,0,0,no-display-screen,0.011966705
,,,,,,
0.002991915,0,0,0.000996828,0,0.032913923,0.053855419
,,,,,,
0.004986286,0,0.000996351,0.000996351,0,no-display-screen,0.034034491
,,,,,,
0.00301981,0,smaller than MIN_SIZE_REDUCE,0,0,no-display-screen,0.00301981
,,,,,,
0.003993511,0,0,0,0,0.043885469,0.056939602
,,,,,,
0.00698328,0,0,0.000997782,0.000997066,no-display-screen,0.019948483
,,,,,,
0.001993656,0,smaller than MIN_SIZE_REDUCE,0.000997543,0,no-display-screen,0.003989458
,,,,,,
0.005231619,0.00100112,smaller than MIN_SIZE_REDUCE,0.00100112,0,0.036510229,0.049725533
,,,,,,
0.00499177,0,0,0.002003193,0,no-display-screen,0.013977289
,,,,,,
0.002991676,0,smaller than MIN_SIZE_REDUCE,0,0,no-display-screen,0.002991676
,,,,,,
0.002991438,0,0,0.000962019,0,0.050862789,0.061798096
,,,,,,
0.004990816,0,0,0.00199914,0,no-display-screen,0.030922651
,,,,,,
0.002989531,0,smaller than MIN_SIZE_REDUCE,0,0.000998259,no-display-screen,0.003987789
,,,,,,
0.003988028,smaller than MIN_SIZE_REDUCE,smaller than MIN_SIZE_REDUCE,0,0,0.034906626,0.044879436
,,,,,,
0.004986763,0,0,0.001032352,0,no-display-screen,0.016788483
,,,,,,
0.003956079,0.000996113,smaller than MIN_SIZE_REDUCE,0.000996113,0,no-display-screen,0.004952192
,,,,,,
0.004015684,0,0,0.000997066,0,0.035868645,0.044871092
,,,,,,
0.005982637,0,smaller than MIN_SIZE_REDUCE,0.000997782,0,no-display-screen,0.011968374
,,,,,,
0.002991676,0,smaller than MIN_SIZE_REDUCE,0,0,no-display-screen,0.002991676
,,,,,,
0.002991438,smaller than MIN_SIZE_REDUCE,0,0.000996828,0,0.046426535,0.056399107
,,,,,,
0.007977724,smaller than MIN_SIZE_REDUCE,0,0.000998497,0,no-display-screen,0.013962984
,,,,,,
0.002992868,0,smaller than MIN_SIZE_REDUCE,0,0,no-display-screen,0.003991127
,,,,,,
0.002993584,0.000993013,0,0.001993895,0,0.037416458,0.04838562
,,,,,,
0.005982399,smaller than MIN_SIZE_REDUCE,0,0.000997782,0,no-display-screen,0.008976698
,,,,,,
0.003989697,smaller than MIN_SIZE_REDUCE,smaller than MIN_SIZE_REDUCE,0,0,no-display-screen,0.004987478
,,,,,,
0.002992392,0,0.00099659,0.00099659,0,0.085772276,0.099732161
,,,,,,
0.004984379,0,0,0.00099802,0,no-display-screen,0.068815231
,,,,,,
0.002988577,0,smaller than MIN_SIZE_REDUCE,0.000996351,0,no-display-screen,0.011967421
,,,,,,
0.003983021,0,0,0.00099349,0,0.048868895,0.071807146
,,,,,,
0.004020214,0,0,0.000961065,0,no-display-screen,0.065823793
,,,,,,
0.002955675,0,smaller than MIN_SIZE_REDUCE,0.00099659,0,no-display-screen,0.003952265
,,,,,,
0.003988981,smaller than MIN_SIZE_REDUCE,0,0,0,0.031953573,0.042886019
,,,,,,
0.003989935,smaller than MIN_SIZE_REDUCE,0,0.000996828,0,no-display-screen,0.014960527
,,,,,,
0.004986525,smaller than MIN_SIZE_REDUCE,smaller than MIN_SIZE_REDUCE,0,0,no-display-screen,0.004986525
,,,,,,
0.003030062,0,0.000993729,0.000993729,0,0.04683876,0.056847811
,,,,,,
0.003996134,0,0,0.000962257,0,no-display-screen,0.119679451
,,,,,,
0.00295639,smaller than MIN_SIZE_REDUCE,smaller than MIN_SIZE_REDUCE,0,0,no-display-screen,0.011967897
,,,,,,
0.003987789,0,0,0.000961304,0,0.036190987,0.058131456
,,,,,,
0.003982067,smaller than MIN_SIZE_REDUCE,smaller than MIN_SIZE_REDUCE,0.000961304,0,no-display-screen,0.013962269
,,,,,,
0.002029657,smaller than MIN_SIZE_REDUCE,smaller than MIN_SIZE_REDUCE,0,0,no-display-screen,0.003989458
,,,,,,
0.0049932,0,0,0.000990868,0,0.058573008,0.07164979
,,,,,,
0.005983591,0,0,0.001995564,0,no-display-screen,0.077792645
,,,,,,
0.00303793,0,smaller than MIN_SIZE_REDUCE,0,0,no-display-screen,0.010008812
,,,,,,
0.004992247,0.000992537,0,0.002024651,0,0.040853977,0.062831402
,,,,,,
0.00399065,smaller than MIN_SIZE_REDUCE,smaller than MIN_SIZE_REDUCE,0.00103116,0,no-display-screen,0.05503273
,,,,,,
0.003989697,smaller than MIN_SIZE_REDUCE,smaller than MIN_SIZE_REDUCE,0,0,no-display-screen,0.003989697
,,,,,,
0.003027439,0,0,0.000961781,0,0.033915997,0.042891979
,,,,,,
0.004992247,0,0,0.000991583,0,no-display-screen,0.00997138
,,,,,,
0.003028393,0,smaller than MIN_SIZE_REDUCE,0,0,no-display-screen,0.003028393
,,,,,,
0.002991676,0,0,0,0,0.046838999,0.055814505
,,,,,,
0.006980419,0,0,0.000996828,0,no-display-screen,0.016956568
,,,,,,
0.002990484,smaller than MIN_SIZE_REDUCE,smaller than MIN_SIZE_REDUCE,0,0,no-display-screen,0.003987789
,,,,,,
0.002991915,0,smaller than MIN_SIZE_REDUCE,0.001002789,0,0.034438372,0.045412779
,,,,,,
0.003987312,smaller than MIN_SIZE_REDUCE,0.000998497,0.000998497,0,no-display-screen,0.008928061
,,,,,,
0.001993418,smaller than MIN_SIZE_REDUCE,smaller than MIN_SIZE_REDUCE,0,0,no-display-screen,0.002990961
,,,,,,
0.004985571,0.000997305,0,0.000997305,0,0.043883085,0.057845354
,,,,,,
0.006011009,0,0,0.002003908,0,no-display-screen,0.012001276
,,,,,,
0.002993822,0.000996828,smaller than MIN_SIZE_REDUCE,0.000996828,0,no-display-screen,0.00399065
,,,,,,
0.003979206,0,0,0,0,0.034907103,0.045874596
,,,,,,
0.004991531,0,0,0.001996279,0,no-display-screen,0.01197505
,,,,,,
0.002991438,smaller than MIN_SIZE_REDUCE,smaller than MIN_SIZE_REDUCE,0,0,no-display-screen,0.003983259
,,,,,,
0.002990961,smaller than MIN_SIZE_REDUCE,0,0.000996828,0,0.033909321,0.044881582
,,,,,,
0.002992868,0,0,0.00099659,0,no-display-screen,0.014960289
,,,,,,
0.002991438,smaller than MIN_SIZE_REDUCE,smaller than MIN_SIZE_REDUCE,0,0,no-display-screen,0.002991438
,,,,,,
0.003671885,0,0,0.000997305,0,0.048869371,0.0615201
,,,,,,
0.003988981,0,0,0.000997782,0,no-display-screen,0.120678663
,,,,,,
0.00399065,smaller than MIN_SIZE_REDUCE,smaller than MIN_SIZE_REDUCE,0,0,no-display-screen,0.00399065
,,,,,,
0.003989697,0,0,0,0,0.036900997,0.044880152
,,,,,,
0.005012035,smaller than MIN_SIZE_REDUCE,0,0.000997782,0,no-display-screen,0.011995792
,,,,,,
0.002991438,smaller than MIN_SIZE_REDUCE,smaller than MIN_SIZE_REDUCE,0,0,no-display-screen,0.002991438
,,,,,,
0.003027439,0.000961781,smaller than MIN_SIZE_REDUCE,0.000961781,0,0.051458597,0.061392784
,,,,,,
0.003979683,0,0,0.000995636,0,no-display-screen,0.072746038
,,,,,,
0.00298667,smaller than MIN_SIZE_REDUCE,smaller than MIN_SIZE_REDUCE,0,0,no-display-screen,0.011934996
,,,,,,
0.003987789,0,0,0.000997305,0,0.034946918,0.056847811
,,,,,,
0.005977869,0,0,0.000997066,0,no-display-screen,0.033908844
,,,,,,
0.003031015,0,smaller than MIN_SIZE_REDUCE,0,0,no-display-screen,0.004029274
,,,,,,
0.004995584,0,0,0.000989676,0,0.032943487,0.044879913
,,,,,,
